[0415/163239.281:INFO:CONSOLE(0)] "Fetch event handler is recognized as no-op. No-op fetch handler may bring overhead during navigation. Consider removing the handler if possible.", source:  (0)
[0415/163241.570:INFO:CONSOLE(1)] "框架和 SDK 输出的日志默认不展示，可在框架配置文件中设置开启，详见 https://doc.weixin.qq.com/doc/w3_AWkASAb9APAr8IdJI5VS0OyqetUE6?scode=ANAAyQcbAAgB8qKjm9AWkASAb9APA", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/vendor-dynamic.5919afbb.js (1)
[0415/163241.726:INFO:CONSOLE(3)] "Error", source:  (3)
[0415/163241.834:ERROR:web_contents_delegate.cc(266)] WebContentsDelegate::CheckMediaAccessPermission: Not supported.
[0415/163241.834:ERROR:web_contents_delegate.cc(266)] WebContentsDelegate::CheckMediaAccessPermission: Not supported.
[0415/163242.442:INFO:CONSOLE(1)] "Hydration completed but contains mismatches.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/library-vue.a815a0f6.js (1)
[0415/163243.981:INFO:CONSOLE(25)] "Service Worker registered success with scope: https://www.xiaohongshu.com/", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/index.e338ae2f.js (25)
[0415/163245.973:INFO:CONSOLE(1)] "Fetch API cannot load chrome-extension://dhjaibcmgocbpegmejfphjhhpaphmkpp/is.js. URL scheme "chrome-extension" is not supported.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/async/2099.2802e1d9.js (1)
[0415/163245.976:INFO:CONSOLE(1)] "Fetch API cannot load chrome-extension://beeaddblkeeialcohiolkkoiifhgjooj/manifest.json. URL scheme "chrome-extension" is not supported.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/async/2099.2802e1d9.js (1)
[0415/163245.977:INFO:CONSOLE(1)] "Fetch API cannot load chrome-extension://ddgooekaaihgnbfbgalfiooiicdnmnia/js/js-index.ts.js. URL scheme "chrome-extension" is not supported.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/async/2099.2802e1d9.js (1)
[0415/163245.978:INFO:CONSOLE(1)] "Fetch API cannot load chrome-extension://keeelahekhhgkpaipdodgjnmgkfcdpde/inject.6070000c.js. URL scheme "chrome-extension" is not supported.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/async/2099.2802e1d9.js (1)
[0415/163245.979:INFO:CONSOLE(1)] "Fetch API cannot load chrome-extension://dbichmdlbjdeplpkhcejgkakobjbjalc/content-scripts/xiaohongshu.css. URL scheme "chrome-extension" is not supported.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/async/2099.2802e1d9.js (1)
[0415/163245.980:INFO:CONSOLE(1)] "Fetch API cannot load chrome-extension://piejlhcmefdepbgalcongckfomfobokb/worker.js. URL scheme "chrome-extension" is not supported.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/async/2099.2802e1d9.js (1)
[0415/163245.981:INFO:CONSOLE(1)] "Fetch API cannot load chrome-extension://lenndnnbdichpjlfmfadcjpaenmiflan/inject.bundle.js. URL scheme "chrome-extension" is not supported.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/async/2099.2802e1d9.js (1)
[0415/163245.983:INFO:CONSOLE(1)] "Fetch API cannot load chrome-extension://hmeohemhimcjlegdjloglnkfablbneif/inject.bundle.js. URL scheme "chrome-extension" is not supported.", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/async/2099.2802e1d9.js (1)
[0415/163258.341:INFO:CONSOLE(1)] "[apm performance metric] paintTiming", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/vendor-dynamic.5919afbb.js (1)
[0415/163258.341:INFO:CONSOLE(1)] "[object Object]", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/vendor-dynamic.5919afbb.js (1)
[0415/163258.341:INFO:CONSOLE(1)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/vendor-dynamic.5919afbb.js (1)
[0415/163258.345:INFO:CONSOLE(1)] "[apm performance metric] visualStability", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/vendor-dynamic.5919afbb.js (1)
[0415/163258.345:INFO:CONSOLE(1)] "[object Object]", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/vendor-dynamic.5919afbb.js (1)
[0415/163258.345:INFO:CONSOLE(1)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/xhs-pc-web/public/resource/js/vendor-dynamic.5919afbb.js (1)
[0415/163258.587:INFO:CONSOLE(119)] "框架和 SDK 输出的日志默认不展示，可在框架配置文件中设置开启，详见 https://doc.weixin.qq.com/doc/w3_AWkASAb9APAr8IdJI5VS0OyqetUE6?scode=ANAAyQcbAAgB8qKjm9AWkASAb9APA", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163258.660:INFO:CONSOLE(3)] "Error", source:  (3)
[0415/163259.217:INFO:CONSOLE(119)] "[apm] anti_spam_ds_fail", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "[apm] webmns_error", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "[apm] infraBrowserResourceTiming", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "[apm] infraBrowserResourceTiming", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "[apm] infraBrowserResourceTiming", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.218:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "[apm] infraBrowserResourceTiming", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "[apm] infraBrowserResourceTiming", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "[apm] infraBrowserResourceTiming", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "[apm] infraBrowserResourceTiming", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "[apm] infraBrowserResourceTiming", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
[0415/163259.219:INFO:CONSOLE(119)] "console.groupEnd", source: https://fe-static.xhscdn.com/formula-static/ugc/public/resource/js/811.bfa839ac.js (119)
